COMMENT,LCS2_lru_2021_03_27__10_42_00_k_3__d_2_cache_sizes_100_to_3000_problem_size_100
SORT_BY,
LABEL,LRU
3,177772
4,177772
5,174802
6,174796
7,162644
8,162240
9,155720
10,155525
11,152325
12,149509
13,145915
14,144298
15,141604
16,139956
17,137705
18,137159
19,136647
20,136341
21,136108
22,135250
23,134592
24,133551
25,129026
26,127636
27,125483
28,119986
29,117672
30,116162
31,114801
32,113467
33,111703
34,109994
35,105009
36,103693
37,101890
38,100780
39,98548
40,97868
41,94363
42,93371
43,92864
44,91809
45,90009
46,89839
47,89455
48,88785
49,88435
50,88082
51,87061
52,86867
53,83617
54,82294
55,81074
56,80708
57,76068
58,74874
59,74447
60,74235
61,72284
62,72142
63,71926
64,71861
65,71687
66,71477
67,71273
68,71029
69,70989
70,70942
71,70803
72,70663
73,70537
74,70461
75,70309
76,70227
77,69977
78,69744
79,69702
80,69638
81,69570
82,69451
83,69230
84,68769
85,68646
86,68479
87,68185
88,67654
89,67109
90,66718
91,66710
92,66526
93,65401
94,65229
95,65029
96,64836
97,64442
98,64161
99,63994
100,63780
101,63723
102,63662
103,63313
104,63132
105,63012
106,62937
107,62863
108,62847
109,62768
110,62735
111,62626
112,62193
113,61979
114,61828
115,61582
116,61467
117,61408
118,61360
119,61125
120,61085
121,61006
122,60907
123,60603
124,59889
125,59724
126,59512
127,59337
128,59128
129,58851
130,58647
131,57096
132,56946
133,56198
134,55999
135,55535
136,55163
137,54166
138,54068
139,53492
140,53456
141,53393
142,53098
143,52536
144,52288
145,51057
146,50841
147,50697
148,50593
149,50095
150,49748
151,49589
152,47728
153,47590
154,47492
155,47459
156,47371
157,47103
158,47103
159,47023
160,46966
161,46942
162,46857
163,46788
164,46746
165,46730
166,46714
167,46662
168,46601
169,46518
170,46465
171,46437
172,46362
173,46335
174,46332
175,46329
176,46284
177,46252
178,46236
179,46236
180,46136
181,46052
182,46028
183,45941
184,45861
185,45861
186,45797
187,44817
188,44561
189,44476
190,44406
191,44386
192,44382
193,44370
194,44362
195,44358
196,44354
197,44334
198,44334
199,44296
200,44261
201,44215
202,44211
203,44195
204,44193
205,44178
206,44141
207,44141
208,44106
209,44103
210,44103
211,44097
212,44097
213,44097
214,44097
215,44060
216,44060
217,44060
218,44039
219,44039
220,43999
221,43967
222,43951
223,43930
224,43883
225,43815
226,43805
227,43794
228,43756
229,43714
230,43690
231,43634
232,43634
233,43626
234,43623
235,43608
236,43499
237,43446
238,43430
239,43394
240,43284
241,43247
242,43160
243,43110
244,43018
245,42974
246,42723
247,42706
248,42700
249,42627
250,42405
251,42351
252,42314
253,42233
254,42104
255,42061
256,42024
257,42006
258,41949
259,41925
260,41843
261,41766
262,41754
263,41736
264,41727
265,41724
266,41694
267,41682
268,41682
269,41682
270,41674
271,41674
272,41674
273,41674
274,41674
275,41658
276,41642
277,41610
278,41538
279,41534
280,41508
281,41496
282,41484
283,41475
284,41408
285,41406
286,41386
287,41363
288,41347
289,41342
290,41327
291,41317
292,41251
293,41216
294,41216
295,41215
296,41151
297,41150
298,41150
299,41102
300,41096
301,41069
302,40902
303,40872
304,40842
305,40842
306,40817
307,40721
308,40694
309,40625
310,40599
311,40519
312,40498
313,40485
314,40461
315,40460
316,40460
317,40455
318,40454
319,40421
320,40398
321,40344
322,40295
323,40181
324,40166
325,40166
326,40109
327,40106
328,40097
329,40097
330,40097
331,40040
332,40016
333,39994
334,39959
335,39885
336,39848
337,39838
338,39823
339,39742
340,39655
341,39568
342,39419
343,39385
344,39361
345,39350
346,39166
347,39160
348,39146
349,39133
350,38797
351,38639
352,38631
353,38389
354,38358
355,38328
356,38285
357,38273
358,38074
359,37904
360,37891
361,37849
362,37829
363,37809
364,37761
365,37142
366,37066
367,37062
368,37010
369,36994
370,36994
371,36946
372,36929
373,36772
374,36756
375,36733
376,36700
377,36571
378,36559
379,36469
380,36387
381,36146
382,36090
383,36008
384,35930
385,35864
386,35656
387,35434
388,35410
389,35398
390,35366
391,35336
392,35323
393,35285
394,35162
395,35135
396,35070
397,35070
398,34970
399,34970
400,34970
401,34970
402,34965
403,34965
404,34965
405,34965
406,34957
407,34952
408,34824
409,34812
410,34812
411,34812
412,34812
413,34812
414,34812
415,34812
416,34812
417,34812
418,34764
419,34764
420,34756
421,34756
422,34756
423,34745
424,34745
425,34727
426,34668
427,34512
428,34512
429,34512
430,34508
431,34508
432,34504
433,34504
434,34504
435,34504
436,34444
437,34444
438,34444
439,34432
440,34408
441,34396
442,34372
443,34372
444,34372
445,34372
446,34372
447,34372
448,34368
449,34364
450,34364
451,34360
452,34355
453,34354
454,34352
455,34352
456,34352
457,34352
458,34352
459,34352
460,34352
461,34352
462,34352
463,34352
464,34348
465,34348
466,34348
467,34339
468,34339
469,34339
470,34339
471,34335
472,34335
473,34335
474,34335
475,34335
476,34335
477,34335
478,34335
479,34335
480,34283
481,33859
482,33855
483,33855
484,33855
485,33855
486,33855
487,33855
488,33855
489,33855
490,33855
491,33855
492,33853
493,33851
494,33851
495,33851
496,33851
497,33851
498,33851
499,33851
500,33843
501,33843
502,33843
503,33773
504,33773
505,33773
506,33703
507,33703
508,33699
509,33691
510,33687
511,33687
512,33607
513,33517
514,33461
515,33453
516,33437
517,33373
518,33373
519,33369
520,33361
521,33357
522,33357
523,33301
524,33293
525,33229
526,33229
527,33229
528,33229
529,33229
530,33229
531,33229
532,33229
533,33229
534,33229
535,33227
536,33220
537,33205
538,33205
539,33205
540,33205
541,33205
542,33204
543,33195
544,33195
545,33195
546,33195
547,33195
548,33191
549,33185
550,33179
551,33161
552,33161
553,33161
554,33161
555,33161
556,33153
557,33152
558,33149
559,33137
560,33133
561,33126
562,33126
563,33122
564,33103
565,33103
566,33099
567,33099
568,33099
569,33099
570,33082
571,33065
572,33053
573,33053
574,33048
575,33048
576,33040
577,33040
578,33040
579,33040
580,33040
581,33040
582,33040
583,33028
584,33024
585,33008
586,33008
587,33008
588,33008
589,33008
590,33005
591,33005
592,33005
593,32997
594,32997
595,32989
596,32989
597,32985
598,32985
599,32971
600,32962
601,32952
602,32948
603,32943
604,32939
605,32930
606,32930
607,32929
608,32929
609,32929
610,32929
611,32729
612,32427
613,32427
614,32427
615,32292
616,32230
617,29566
618,29496
619,27091
620,27073
621,26681
622,26606
623,26400
624,26400
625,26380
626,26247
627,26846
628,26842
629,26842
630,26839
631,26667
632,26567
633,27161
634,27147
635,27082
636,26311
637,25372
638,25163
639,25155
640,25150
641,25150
642,25150
643,25150
644,25147
645,25147
646,25143
647,25143
648,25143
649,25143
650,25143
651,25142
652,25141
653,25137
654,25137
655,25087
656,25087
657,25087
658,25081
659,25071
660,25066
661,25018
662,25018
663,25010
664,25010
665,24950
666,24950
667,24935
668,24929
669,24922
670,24910
671,24899
672,24884
673,24870
674,24858
675,24838
676,24827
677,24817
678,24815
679,24809
680,24809
681,24805
682,24804
683,24801
684,24801
685,24800
686,24800
687,24798
688,24796
689,24795
690,24795
691,24788
692,24785
693,24785
694,24785
695,24785
696,24784
697,24783
698,24783
699,24780
700,24776
701,24776
702,24776
703,24775
704,24770
705,24764
706,24762
707,24762
708,24759
709,24757
710,24756
711,24755
712,24754
713,24752
714,24739
715,24719
716,24701
717,24687
718,24670
719,24637
720,24622
721,24607
722,24577
723,24562
724,24554
725,24549
726,24516
727,24503
728,24488
729,24466
730,24440
731,24419
732,24406
733,24397
734,24393
735,24379
736,24370
737,24362
738,24360
739,24356
740,24356
741,24348
742,24332
743,24322
744,24314
745,24314
746,24313
747,24313
748,24313
749,24313
750,24313
751,24313
752,24313
753,24313
754,24309
755,24305
756,24304
757,24296
758,24288
759,24288
760,24288
761,24278
762,24263
763,24263
764,24263
765,24211
766,24219
767,24219
768,24216
769,24215
770,24213
771,24213
772,24184
773,24197
774,24207
775,24189
776,24140
777,24128
778,24116
779,24086
780,24037
781,24017
782,23977
783,23947
784,23898
785,23871
786,23843
787,23592
788,23567
789,23499
790,23463
791,23427
792,23147
793,23047
794,23021
795,23066
796,23031
797,22996
798,22946
799,22923
800,21820
801,21797
802,21675
803,21650
804,21621
805,21700
806,21675
807,21648
808,21621
809,21607
810,21585
811,20172
812,20159
813,20159
814,20159
815,20158
816,20157
817,20157
818,20157
819,20157
820,20157
821,20089
822,20089
823,20089
824,20089
825,20089
826,20089
827,20089
828,20081
829,20077
830,20077
831,20077
832,20069
833,20069
834,20066
835,20066
836,20054
837,20053
838,20045
839,20040
840,20026
841,20026
842,20016
843,20016
844,19997
845,19997
846,19989
847,19985
848,19985
849,19973
850,19971
851,19971
852,19966
853,19966
854,19966
855,19966
856,19966
857,19966
858,19966
859,19966
860,19966
861,19966
862,19966
863,19962
864,19962
865,19958
866,19957
867,19957
868,19956
869,19956
870,19956
871,19956
872,19956
873,19956
874,19956
875,19954
876,19951
877,19946
878,19941
879,19940
880,19939
881,19939
882,19937
883,19932
884,19931
885,19928
886,19591
887,19590
888,19590
889,19590
890,19587
891,19587
892,19575
893,19572
894,19503
895,19499
896,19481
897,19471
898,19458
899,19456
900,19437
901,19436
902,19430
903,19427
904,19423
905,19419
906,19411
907,19403
908,19388
909,16293
910,16287
911,16279
912,16271
913,16265
914,16263
915,16261
916,16261
917,16261
918,16261
919,16261
920,16261
921,16257
922,16257
923,16257
924,16257
925,16257
926,16258
927,15840
928,15840
929,15838
930,15838
931,15838
932,15838
933,15834
934,15832
935,15832
936,15832
937,15831
938,15831
939,15831
940,15831
941,15831
942,15743
943,15743
944,15743
945,15743
946,15743
947,15743
948,15743
949,15743
950,15743
951,15743
952,15743
953,15743
954,15743
955,15743
956,15741
957,15737
958,15735
959,15735
960,15611
961,15611
962,15611
963,15611
964,15611
965,15611
966,15611
967,15611
968,15611
969,15611
970,15611
971,15611
972,15611
973,15611
974,15611
975,15611
976,15611
977,15611
978,15611
979,15611
980,15611
981,15611
982,15611
983,15611
984,15611
985,15611
986,15611
987,15611
988,15611
989,15611
990,15611
991,15611
992,15611
993,15611
994,15611
995,15611
996,15611
997,15610
998,15610
999,15610
1000,15610
1001,15610
1002,15610
1003,15610
1004,15610
1005,15608
1006,15608
1007,15608
1008,15608
1009,15608
1010,15606
1011,15606
1012,15606
1013,15606
1014,15606
1015,15604
1016,15604
1017,15604
1018,15604
1019,15604
1020,15602
1021,15602
1022,15602
1023,15602
1024,15602
1025,15602
1026,15598
1027,15596
1028,15596
1029,15596
1030,15596
1031,15596
1032,15596
1033,15596
1034,15590
1035,15590
1036,15590
1037,15590
1038,15590
1039,15590
1040,15590
1041,15588
1042,15584
1043,15584
1044,15584
1045,15584
1046,15584
1047,15584
1048,15582
1049,15580
1050,15576
1051,15575
1052,15575
1053,15567
1054,15567
1055,15567
1056,15566
1057,15562
1058,15554
1059,15548
1060,15540
1061,15534
1062,15527
1063,15527
1064,15522
1065,15522
1066,15521
1067,15514
1068,15507
1069,15501
1070,15495
1071,15484
1072,15477
1073,15471
1074,15465
1075,15459
1076,15451
1077,15445
1078,15435
1079,15425
1080,15415
1081,15404
1082,15403
1083,15402
1084,15401
1085,15400
1086,15387
1087,15387
1088,15381
1089,15381
1090,15381
1091,15381
1092,15381
1093,15381
1094,15369
1095,15349
1096,15337
1097,15325
1098,15309
1099,15309
1100,15309
1101,15309
1102,15301
1103,15301
1104,15301
1105,15301
1106,15289
1107,15276
1108,15264
1109,15246
1110,15234
1111,15220
1112,15208
1113,15196
1114,15184
1115,15172
1116,15160
1117,15148
1118,15128
1119,15108
1120,15084
1121,15084
1122,15084
1123,15084
1124,15083
1125,15066
1126,15065
1127,15062
1128,15032
1129,11444
1130,11442
1131,11442
1132,11442
1133,11438
1134,11436
1135,11427
1136,11426
1137,11413
1138,11406
1139,11400
1140,11388
1141,11350
1142,7888
1143,7887
1144,7886
1145,7885
1146,7882
1147,7880
1148,7880
1149,7880
1150,7880
1151,7876
1152,7876
1153,7845
1154,7841
1155,7836
1156,7836
1157,7836
1158,7832
1159,7829
1160,7829
1161,7825
1162,7821
1163,7817
1164,7795
1165,7795
1166,7772
1167,7770
1168,7769
1169,7765
1170,7760
1171,7755
1172,7750
1173,7749
1174,7748
1175,7747
1176,7747
1177,7747
1178,7747
1179,7747
1180,7747
1181,7747
1182,7747
1183,7747
1184,7740
1185,7740
1186,7736
1187,7732
1188,7731
1189,7702
1190,7701
1191,7691
1192,7686
1193,7682
1194,7678
1195,7674
1196,7669
1197,7637
1198,7630
1199,7613
1200,7609
1201,7605
1202,7605
1203,7605
1204,7601
1205,7598
1206,7597
1207,7597
1208,7597
1209,7597
1210,7596
1211,7594
1212,7593
1213,7591
1214,7589
1215,7587
1216,7586
1217,7586
1218,7586
1219,7582
1220,7582
1221,7582
1222,7582
1223,7582
1224,7582
1225,7582
1226,7582
1227,7578
1228,7578
1229,7578
1230,7578
1231,7574
1232,7574
1233,7574
1234,7574
1235,7570
1236,7565
1237,7564
1238,7559
1239,7554
1240,7548
1241,7546
1242,7545
1243,7540
1244,7540
1245,7539
1246,7538
1247,7538
1248,7538
1249,7537
1250,7537
1251,7529
1252,7529
1253,7529
1254,7529
1255,7529
1256,7522
1257,7499
1258,7499
1259,7499
1260,7499
1261,7499
1262,7499
1263,7499
1264,7499
1265,7474
1266,7474
1267,7474
1268,7474
1269,7474
1270,7474
1271,7474
1272,7474
1273,7474
1274,7474
1275,7474
1276,7474
1277,7474
1278,7474
1279,7474
1280,7474
1281,7474
1282,7474
1283,7474
1284,7474
1285,7474
1286,7474
1287,7474
1288,7474
1289,7474
1290,7474
1291,7473
1292,7473
1293,7473
1294,7473
1295,7473
1296,7473
1297,7473
1298,7472
1299,7472
1300,7472
1301,7472
1302,7472
1303,7472
1304,7472
1305,7472
1306,7471
1307,7471
1308,7471
1309,7471
1310,7471
1311,7471
1312,7471
1313,7471
1314,7470
1315,7470
1316,7470
1317,7446
1318,7446
1319,7446
1320,7446
1321,7446
1322,7445
1323,7445
1324,7445
1325,7445
1326,7445
1327,7445
1328,7445
1329,7445
1330,7445
1331,7445
1332,7445
1333,7445
1334,7445
1335,7445
1336,7445
1337,7445
1338,7445
1339,7445
1340,7443
1341,7440
1342,7438
1343,7438
1344,7434
1345,7432
1346,7432
1347,7432
1348,7432
1349,7432
1350,7432
1351,7432
1352,7432
1353,7432
1354,7432
1355,7432
1356,7432
1357,7432
1358,7432
1359,7432
1360,7432
1361,7432
1362,7432
1363,7432
1364,7432
1365,7432
1366,7432
1367,7432
1368,7432
1369,7432
1370,7432
1371,7432
1372,7432
1373,7432
1374,7432
1375,7432
1376,7432
1377,7432
1378,7432
1379,7432
1380,7432
1381,7432
1382,7432
1383,7432
1384,7432
1385,7432
1386,7432
1387,7432
1388,7432
1389,7432
1390,7432
1391,7432
1392,7432
1393,7432
1394,7432
1395,7432
1396,7432
1397,7432
1398,7432
1399,7432
1400,7432
1401,7432
1402,7432
1403,7431
1404,7431
1405,7431
1406,7429
1407,7428
1408,7428
1409,7428
1410,7428
1411,7428
1412,7428
1413,7428
1414,7428
1415,7428
1416,7428
1417,7428
1418,7428
1419,7428
1420,7428
1421,7428
1422,7428
1423,7428
1424,7428
1425,7428
1426,7428
1427,7428
1428,7428
1429,7428
1430,7428
1431,7428
1432,7428
1433,7428
1434,7428
1435,7428
1436,7428
1437,7428
1438,7428
1439,7428
1440,7428
1441,7428
1442,7428
1443,7428
1444,7428
1445,7427
1446,7427
1447,7427
1448,7427
1449,7427
1450,7427
1451,7427
1452,7427
1453,7427
1454,7427
1455,7427
1456,7427
1457,7427
1458,7427
1459,7427
1460,7427
1461,7427
1462,7427
1463,7427
1464,7427
1465,7427
1466,7427
1467,7427
1468,7427
1469,7427
1470,7427
1471,7427
1472,7427
1473,7427
1474,7427
1475,7427
1476,7427
1477,7427
1478,7427
1479,7427
1480,7427
1481,7427
1482,7427
1483,7427
1484,7427
1485,7427
1486,7427
1487,7427
1488,7427
1489,7427
1490,7427
1491,7427
1492,7427
1493,7427
1494,7425
1495,7424
1496,7423
1497,7423
1498,7423
1499,7423
1500,7423
1501,7423
1502,7423
1503,7423
1504,7423
1505,7423
1506,7423
1507,7423
1508,7423
1509,7423
1510,7423
1511,7423
1512,7423
1513,7423
1514,7423
1515,7423
1516,7423
1517,7423
1518,7423
1519,7423
1520,7423
1521,7423
1522,7423
1523,7423
1524,7423
1525,7423
1526,7423
1527,7423
1528,7423
1529,7423
1530,7423
1531,7423
1532,7423
1533,7423
1534,7423
1535,7423
1536,7412
1537,7412
1538,7412
1539,7412
1540,7390
1541,7390
1542,7390
1543,7390
1544,7390
1545,7370
1546,7370
1547,7370
1548,7370
1549,7370
1550,7370
1551,7370
1552,7370
1553,7370
1554,7370
1555,7370
1556,7370
1557,7370
1558,7369
1559,7368
1560,7366
1561,7365
1562,7363
1563,7362
1564,7362
1565,7362
1566,7362
1567,7361
1568,7361
1569,7354
1570,7351
1571,7351
1572,7351
1573,7351
1574,7351
1575,7351
1576,7351
1577,7351
1578,7349
1579,7347
1580,7347
1581,7347
1582,7347
1583,7347
1584,7347
1585,7347
1586,7347
1587,7347
1588,7347
1589,7347
1590,7347
1591,7347
1592,7347
1593,7347
1594,7347
1595,7347
1596,7347
1597,7347
1598,7347
1599,7347
1600,7347
1601,7347
1602,7347
1603,7347
1604,7347
1605,7347
1606,7347
1607,7347
1608,7347
1609,7346
1610,7344
1611,7343
1612,7343
1613,7341
1614,7339
1615,7339
1616,7338
1617,7337
1618,7336
1619,7327
1620,7319
1621,7317
1622,7317
1623,7317
1624,7317
1625,7315
1626,7313
1627,7310
1628,7308
1629,7305
1630,7303
1631,7303
1632,7303
1633,7303
1634,7303
1635,7303
1636,7303
1637,7303
1638,7303
1639,7303
1640,7303
1641,7303
1642,7303
1643,7303
1644,7303
1645,7303
1646,7303
1647,7303
1648,7303
1649,7303
1650,7303
1651,7301
1652,7300
1653,7300
1654,7299
1655,7297
1656,7297
1657,7296
1658,7296
1659,7296
1660,7290
1661,7282
1662,7278
1663,7278
1664,7278
1665,7278
1666,7278
1667,7278
1668,7278
1669,7278
1670,7278
1671,7278
1672,7274
1673,7272
1674,7272
1675,7272
1676,7272
1677,7272
1678,7270
1679,7268
1680,7266
1681,7266
1682,7266
1683,7266
1684,7266
1685,7266
1686,7266
1687,7266
1688,7266
1689,7266
1690,7266
1691,7266
1692,7266
1693,7266
1694,7266
1695,7266
1696,7266
1697,7266
1698,7266
1699,7266
1700,7266
1701,7266
1702,7265
1703,7263
1704,7263
1705,7263
1706,7263
1707,7261
1708,7259
1709,7255
1710,7255
1711,7255
1712,7253
1713,7253
1714,7251
1715,7251
1716,7248
1717,7246
1718,7245
1719,7243
1720,7243
1721,7243
1722,7243
1723,7243
1724,7243
1725,7243
1726,7243
1727,7243
1728,7243
1729,7235
1730,7233
1731,7233
1732,7233
1733,7225
1734,7225
1735,7224
1736,7223
1737,7223
1738,7223
1739,7223
1740,7223
1741,7224
1742,7224
1743,7224
1744,7224
1745,7223
1746,7214
1747,7214
1748,7214
1749,7214
1750,7214
1751,7214
1752,7214
1753,7213
1754,7213
1755,7213
1756,7213
1757,7214
1758,7214
1759,7214
1760,7214
1761,7214
1762,7213
1763,7215
1764,7215
1765,7215
1766,7215
1767,7215
1768,7216
1769,7216
1770,7216
1771,7216
1772,7216
1773,7216
1774,7215
1775,7214
1776,7214
1777,7214
1778,7214
1779,7214
1780,7214
1781,7214
1782,7213
1783,7212
1784,7212
1785,7212
1786,7212
1787,7212
1788,7212
1789,7212
1790,7212
1791,7212
1792,7212
1793,7212
1794,7212
1795,7212
1796,7212
1797,7212
1798,7204
1799,7204
1800,7204
1801,7204
1802,7196
1803,7196
1804,7195
1805,7195
1806,7195
1807,7194
1808,7194
1809,7194
1810,7194
1811,7194
1812,7186
1813,7186
1814,7186
1815,7186
1816,7186
1817,7186
1818,7186
1819,7186
1820,7186
1821,7186
1822,7186
1823,7186
1824,7186
1825,7185
1826,7185
1827,7185
1828,7184
1829,7184
1830,7184
1831,7184
1832,7184
1833,7184
1834,7184
1835,7184
1836,7184
1837,7184
1838,7183
1839,7183
1840,7183
1841,7183
1842,7183
1843,7183
1844,7183
1845,7183
1846,7183
1847,7183
1848,7183
1849,7181
1850,7180
1851,7181
1852,7180
1853,7179
1854,7175
1855,7175
1856,7175
1857,7175
1858,7175
1859,7175
1860,7175
1861,7175
1862,7175
1863,7175
1864,7175
1865,7175
1866,7175
1867,7175
1868,7175
1869,7175
1870,7175
1871,7175
1872,7174
1873,7174
1874,7174
1875,7174
1876,7172
1877,7172
1878,7172
1879,7172
1880,7170
1881,7170
1882,7170
1883,7170
1884,7170
1885,7170
1886,7170
1887,7170
1888,7169
1889,7168
1890,7166
1891,7160
1892,7158
1893,7156
1894,7154
1895,7153
1896,7149
1897,7147
1898,7145
1899,7144
1900,7143
1901,7142
1902,7142
1903,7141
1904,7139
1905,7138
1906,7137
1907,7137
1908,7137
1909,7136
1910,7136
1911,7136
1912,7136
1913,7135
1914,7122
1915,7122
1916,7122
1917,7094
1918,7084
1919,7084
1920,7022
1921,7022
1922,7006
1923,7006
1924,7006
1925,7006
1926,7006
1927,7006
1928,7006
1929,7005
1930,6994
1931,6994
1932,6982
1933,6981
1934,6958
1935,6956
1936,6956
1937,6956
1938,6953
1939,6951
1940,6949
1941,6949
1942,6925
1943,6921
1944,6918
1945,6917
1946,6914
1947,6912
1948,6910
1949,6907
1950,6885
1951,6883
1952,6883
1953,6881
1954,6879
1955,6879
1956,6877
1957,6877
1958,6843
1959,6843
1960,6843
1961,6841
1962,6839
1963,6839
1964,6836
1965,6836
1966,6836
1967,6835
1968,6834
1969,6842
1970,6833
1971,6829
1972,6829
1973,6829
1974,6829
1975,6829
1976,6827
1977,6827
1978,6832
1979,6832
1980,6832
1981,6832
1982,6826
1983,6824
1984,6821
1985,6821
1986,6821
1987,6819
1988,6815
1989,6815
1990,6809
1991,6809
1992,6807
1993,6805
1994,6802
1995,6802
1996,6797
1997,6796
1998,6796
1999,6796
2000,6794
2001,6794
2002,6793
2003,6787
2004,6780
2005,6778
2006,6772
2007,6764
2008,6765
2009,6763
2010,6762
2011,6757
2012,6764
2013,6788
2014,6786
2015,6785
2016,6784
2017,6803
2018,6887
2019,6882
2020,6875
2021,6874
2022,6893
2023,6886
2024,6881
2025,6880
2026,6901
2027,6894
2028,6891
2029,6889
2030,6889
2031,6887
2032,6885
2033,6885
2034,6885
2035,6885
2036,6884
2037,6884
2038,6881
2039,6880
2040,6876
2041,6874
2042,6874
2043,6872
2044,6872
2045,6839
2046,6838
2047,6835
2048,6832
2049,6829
2050,6824
2051,6820
2052,6820
2053,6819
2054,6815
2055,6813
2056,6812
2057,6810
2058,6808
2059,6804
2060,6804
2061,6803
2062,6803
2063,6803
2064,6801
2065,6798
2066,6795
2067,6791
2068,6790
2069,6785
2070,6783
2071,6782
2072,6774
2073,6771
2074,6771
2075,6764
2076,6764
2077,6764
2078,6761
2079,6758
2080,6754
2081,6749
2082,6745
2083,6743
2084,6740
2085,6737
2086,6734
2087,6732
2088,6730
2089,6728
2090,6726
2091,6724
2092,6720
2093,6717
2094,5782
2095,5773
2096,5768
2097,5763
2098,5759
2099,5754
2100,5753
2101,5753
2102,5753
2103,5751
2104,5749
2105,5749
2106,5749
2107,5749
2108,5749
2109,5749
2110,5749
2111,5747
2112,5747
2113,5749
2114,5747
2115,5745
2116,5747
2117,5747
2118,5747
2119,5743
2120,5735
2121,5726
2122,5723
2123,5723
2124,5723
2125,5725
2126,5725
2127,5725
2128,5723
2129,5721
2130,5719
2131,5717
2132,5715
2133,5713
2134,5711
2135,5709
2136,5707
