n,size,misses
1,16,1
2,16,3
3,16,3
4,16,5
5,16,5
6,16,5
7,16,5
8,16,7
9,16,7
10,16,7
11,16,7
12,16,7
13,16,7
14,16,7
15,16,7
16,16,9
17,16,9
18,16,9
19,16,9
20,16,9
21,16,9
22,16,9
23,16,9
24,16,9
25,16,9
26,16,9
27,16,9
28,16,9
29,16,9
30,16,9
31,16,9
32,16,11
33,16,11
34,16,11
35,16,11
36,16,11
37,16,11
38,16,11
39,16,11
40,16,11
41,16,11
42,16,11
43,16,11
44,16,11
45,16,11
46,16,11
47,16,11
48,16,11
49,16,11
50,16,11
51,16,11
52,16,11
53,16,11
54,16,11
55,16,11
56,16,11
57,16,11
58,16,11
59,16,11
60,16,11
61,16,11
62,16,11
63,16,11
64,16,13
65,16,13
66,16,13
67,16,13
68,16,13
69,16,13
70,16,13
71,16,13
72,16,13
73,16,13
74,16,13
75,16,13
76,16,13
77,16,13
78,16,13
79,16,13
80,16,13
81,16,13
82,16,13
83,16,13
84,16,13
85,16,13
86,16,13
87,16,13
88,16,13
89,16,13
90,16,13
91,16,13
92,16,13
93,16,13
94,16,13
95,16,13
96,16,13
97,16,13
98,16,13
99,16,13
100,16,13
101,16,13
102,16,13
103,16,13
104,16,13
105,16,13
106,16,13
107,16,13
108,16,13
109,16,13
110,16,13
111,16,13
112,16,13
113,16,13
114,16,13
115,16,13
116,16,13
117,16,13
118,16,13
119,16,13
120,16,13
121,16,13
122,16,13
123,16,13
124,16,13
125,16,13
126,16,13
127,16,13
128,16,15
129,16,15
130,16,15
131,16,15
132,16,15
133,16,15
134,16,15
135,16,15
136,16,15
137,16,15
138,16,15
139,16,15
140,16,15
141,16,15
142,16,15
143,16,15
144,16,15
145,16,15
146,16,15
147,16,15
148,16,15
149,16,15
150,16,15
151,16,15
152,16,15
153,16,15
154,16,15
155,16,15
156,16,15
157,16,15
158,16,15
159,16,15
160,16,15
161,16,15
162,16,15
163,16,15
164,16,15
165,16,15
166,16,15
167,16,15
168,16,15
169,16,15
170,16,15
171,16,15
172,16,15
173,16,15
174,16,15
175,16,15
176,16,15
177,16,15
178,16,15
179,16,15
180,16,15
181,16,15
182,16,15
183,16,15
184,16,15
185,16,15
186,16,15
187,16,15
188,16,15
189,16,15
190,16,15
191,16,15
192,16,15
193,16,15
194,16,15
195,16,15
196,16,15
197,16,15
198,16,15
199,16,15
200,16,15
201,16,15
202,16,15
203,16,15
204,16,15
205,16,15
206,16,15
207,16,15
208,16,15
209,16,15
210,16,15
211,16,15
212,16,15
213,16,15
214,16,15
215,16,15
216,16,15
217,16,15
218,16,15
219,16,15
220,16,15
221,16,15
222,16,15
223,16,15
224,16,15
225,16,15
226,16,15
227,16,15
228,16,15
229,16,15
230,16,15
231,16,15
232,16,15
233,16,15
234,16,15
235,16,15
236,16,15
237,16,15
238,16,15
239,16,15
240,16,15
241,16,15
242,16,15
243,16,15
244,16,15
245,16,15
246,16,15
247,16,15
248,16,15
249,16,15
250,16,15
251,16,15
252,16,15
253,16,15
254,16,15
255,16,15
256,16,17
257,16,17
258,16,17
259,16,17
260,16,17
261,16,17
262,16,17
263,16,17
264,16,17
265,16,17
266,16,17
267,16,17
268,16,17
269,16,17
270,16,17
271,16,17
272,16,17
273,16,17
274,16,17
275,16,17
276,16,17
277,16,17
278,16,17
279,16,17
280,16,17
281,16,17
282,16,17
283,16,17
284,16,17
285,16,17
286,16,17
287,16,17
288,16,17
289,16,17
290,16,17
291,16,17
292,16,17
293,16,17
294,16,17
295,16,17
296,16,17
297,16,17
298,16,17
299,16,17
300,16,17
301,16,17
302,16,17
303,16,17
304,16,17
305,16,17
306,16,17
307,16,17
308,16,17
309,16,17
310,16,17
311,16,17
312,16,17
313,16,17
314,16,17
315,16,17
316,16,17
317,16,17
318,16,17
319,16,17
320,16,17
321,16,17
322,16,17
323,16,17
324,16,17
325,16,17
326,16,17
327,16,17
328,16,17
329,16,17
330,16,17
331,16,17
332,16,17
333,16,17
334,16,17
335,16,17
336,16,17
337,16,17
338,16,17
339,16,17
340,16,17
341,16,17
342,16,17
343,16,17
344,16,17
345,16,17
346,16,17
347,16,17
348,16,17
349,16,17
350,16,17
351,16,17
352,16,17
353,16,17
354,16,17
355,16,17
356,16,17
357,16,17
358,16,17
359,16,17
360,16,17
361,16,17
362,16,17
363,16,17
364,16,17
365,16,17
366,16,17
367,16,17
368,16,17
369,16,17
370,16,17
371,16,17
372,16,17
373,16,17
374,16,17
375,16,17
376,16,17
377,16,17
378,16,17
379,16,17
380,16,17
381,16,17
382,16,17
383,16,17
384,16,17
385,16,17
386,16,17
387,16,17
388,16,17
389,16,17
390,16,17
391,16,17
392,16,17
393,16,17
394,16,17
395,16,17
396,16,17
397,16,17
398,16,17
399,16,17
400,16,17
401,16,17
402,16,17
403,16,17
404,16,17
405,16,17
406,16,17
407,16,17
408,16,17
409,16,17
410,16,17
411,16,17
412,16,17
413,16,17
414,16,17
415,16,17
416,16,17
417,16,17
418,16,17
419,16,17
420,16,17
421,16,17
422,16,17
423,16,17
424,16,17
425,16,17
426,16,17
427,16,17
428,16,17
429,16,17
430,16,17
431,16,17
432,16,17
433,16,17
434,16,17
435,16,17
436,16,17
437,16,17
438,16,17
439,16,17
440,16,17
441,16,17
442,16,17
443,16,17
444,16,17
445,16,17
446,16,17
447,16,17
448,16,17
449,16,17
450,16,17
451,16,17
452,16,17
453,16,17
454,16,17
455,16,17
456,16,17
457,16,17
458,16,17
459,16,17
460,16,17
461,16,17
462,16,17
463,16,17
464,16,17
465,16,17
466,16,17
467,16,17
468,16,17
469,16,17
470,16,17
471,16,17
472,16,17
473,16,17
474,16,17
475,16,17
476,16,17
477,16,17
478,16,17
479,16,17
480,16,17
481,16,17
482,16,17
483,16,17
484,16,17
485,16,17
486,16,17
487,16,17
488,16,17
489,16,17
490,16,17
491,16,17
492,16,17
493,16,17
494,16,17
495,16,17
496,16,17
497,16,17
498,16,17
499,16,17
500,16,17
501,16,17
502,16,17
503,16,17
504,16,17
505,16,17
506,16,17
507,16,17
508,16,17
509,16,17
510,16,17
511,16,17
512,16,19
513,16,19
514,16,19
515,16,19
516,16,19
517,16,19
518,16,19
519,16,19
520,16,19
521,16,19
522,16,19
523,16,19
524,16,19
525,16,19
526,16,19
527,16,19
528,16,19
529,16,19
530,16,19
531,16,19
532,16,19
533,16,19
534,16,19
535,16,19
536,16,19
537,16,19
538,16,19
539,16,19
540,16,19
541,16,19
542,16,19
543,16,19
544,16,19
545,16,19
546,16,19
547,16,19
548,16,19
549,16,19
550,16,19
551,16,19
552,16,19
553,16,19
554,16,19
555,16,19
556,16,19
557,16,19
558,16,19
559,16,19
560,16,19
561,16,19
562,16,19
563,16,19
564,16,19
565,16,19
566,16,19
567,16,19
568,16,19
569,16,19
570,16,19
571,16,19
572,16,19
573,16,19
574,16,19
575,16,19
576,16,19
577,16,19
578,16,19
579,16,19
580,16,19
581,16,19
582,16,19
583,16,19
584,16,19
585,16,19
586,16,19
587,16,19
588,16,19
589,16,19
590,16,19
591,16,19
592,16,19
593,16,19
594,16,19
595,16,19
596,16,19
597,16,19
598,16,19
599,16,19
600,16,19
601,16,19
602,16,19
603,16,19
604,16,19
605,16,19
606,16,19
607,16,19
608,16,19
609,16,19
610,16,19
611,16,19
612,16,19
613,16,19
614,16,19
615,16,19
616,16,19
617,16,19
618,16,19
619,16,19
620,16,19
621,16,19
622,16,19
623,16,19
624,16,19
625,16,19
626,16,19
627,16,19
628,16,19
629,16,19
630,16,19
631,16,19
632,16,19
633,16,19
634,16,19
635,16,19
636,16,19
637,16,19
638,16,19
639,16,19
640,16,19
641,16,19
642,16,19
643,16,19
644,16,19
645,16,19
646,16,19
647,16,19
648,16,19
649,16,19
650,16,19
651,16,19
652,16,19
653,16,19
654,16,19
655,16,19
656,16,19
657,16,19
658,16,19
659,16,19
660,16,19
661,16,19
662,16,19
663,16,19
664,16,19
665,16,19
666,16,19
667,16,19
668,16,19
669,16,19
670,16,19
671,16,19
672,16,19
673,16,19
674,16,19
675,16,19
676,16,19
677,16,19
678,16,19
679,16,19
680,16,19
681,16,19
682,16,19
683,16,19
684,16,19
685,16,19
686,16,19
687,16,19
688,16,19
689,16,19
690,16,19
691,16,19
692,16,19
693,16,19
694,16,19
695,16,19
696,16,19
697,16,19
698,16,19
699,16,19
700,16,19
701,16,19
702,16,19
703,16,19
704,16,19
705,16,19
706,16,19
707,16,19
708,16,19
709,16,19
710,16,19
711,16,19
712,16,19
713,16,19
714,16,19
715,16,19
716,16,19
717,16,19
718,16,19
719,16,19
720,16,19
721,16,19
722,16,19
723,16,19
724,16,19
725,16,19
726,16,19
727,16,19
728,16,19
729,16,19
730,16,19
731,16,19
732,16,19
733,16,19
734,16,19
735,16,19
736,16,19
737,16,19
738,16,19
739,16,19
740,16,19
741,16,19
742,16,19
743,16,19
744,16,19
745,16,19
746,16,19
747,16,19
748,16,19
749,16,19
750,16,19
751,16,19
752,16,19
753,16,19
754,16,19
755,16,19
756,16,19
757,16,19
758,16,19
759,16,19
760,16,19
761,16,19
762,16,19
763,16,19
764,16,19
765,16,19
766,16,19
767,16,19
768,16,19
769,16,19
770,16,19
771,16,19
772,16,19
773,16,19
774,16,19
775,16,19
776,16,19
777,16,19
778,16,19
779,16,19
780,16,19
781,16,19
782,16,19
783,16,19
784,16,19
785,16,19
786,16,19
787,16,19
788,16,19
789,16,19
790,16,19
791,16,19
792,16,19
793,16,19
794,16,19
795,16,19
796,16,19
797,16,19
798,16,19
799,16,19
800,16,19
801,16,19
802,16,19
803,16,19
804,16,19
805,16,19
806,16,19
807,16,19
808,16,19
809,16,19
810,16,19
811,16,19
812,16,19
813,16,19
814,16,19
815,16,19
816,16,19
817,16,19
818,16,19
819,16,19
820,16,19
821,16,19
822,16,19
823,16,19
824,16,19
825,16,19
826,16,19
827,16,19
828,16,19
829,16,19
830,16,19
831,16,19
832,16,19
833,16,19
834,16,19
835,16,19
836,16,19
837,16,19
838,16,19
839,16,19
840,16,19
841,16,19
842,16,19
843,16,19
844,16,19
845,16,19
846,16,19
847,16,19
848,16,19
849,16,19
850,16,19
851,16,19
852,16,19
853,16,19
854,16,19
855,16,19
856,16,19
857,16,19
858,16,19
859,16,19
860,16,19
861,16,19
862,16,19
863,16,19
864,16,19
865,16,19
866,16,19
867,16,19
868,16,19
869,16,19
870,16,19
871,16,19
872,16,19
873,16,19
874,16,19
875,16,19
876,16,19
877,16,19
878,16,19
879,16,19
880,16,19
881,16,19
882,16,19
883,16,19
884,16,19
885,16,19
886,16,19
887,16,19
888,16,19
889,16,19
890,16,19
891,16,19
892,16,19
893,16,19
894,16,19
895,16,19
896,16,19
897,16,19
898,16,19
899,16,19
900,16,19
901,16,19
902,16,19
903,16,19
904,16,19
905,16,19
906,16,19
907,16,19
908,16,19
909,16,19
910,16,19
911,16,19
912,16,19
913,16,19
914,16,19
915,16,19
916,16,19
917,16,19
918,16,19
919,16,19
920,16,19
921,16,19
922,16,19
923,16,19
924,16,19
925,16,19
926,16,19
927,16,19
928,16,19
929,16,19
930,16,19
931,16,19
932,16,19
933,16,19
934,16,19
935,16,19
936,16,19
937,16,19
938,16,19
939,16,19
940,16,19
941,16,19
942,16,19
943,16,19
944,16,19
945,16,19
946,16,19
947,16,19
948,16,19
949,16,19
950,16,19
951,16,19
952,16,19
953,16,19
954,16,19
955,16,19
956,16,19
957,16,19
958,16,19
959,16,19
960,16,19
961,16,19
962,16,19
963,16,19
964,16,19
965,16,19
966,16,19
967,16,19
968,16,19
969,16,19
970,16,19
971,16,19
972,16,19
973,16,19
974,16,19
975,16,19
976,16,19
977,16,19
978,16,19
979,16,19
980,16,19
981,16,19
982,16,19
983,16,19
984,16,19
985,16,19
986,16,19
987,16,19
988,16,19
989,16,19
990,16,19
991,16,19
992,16,19
993,16,19
994,16,19
995,16,19
996,16,19
997,16,19
998,16,19
999,16,19
1000,16,19
1001,16,19
1002,16,19
1003,16,19
1004,16,19
1005,16,19
1006,16,19
1007,16,19
1008,16,19
1009,16,19
1010,16,19
1011,16,19
1012,16,19
1013,16,19
1014,16,19
1015,16,19
1016,16,19
1017,16,19
1018,16,19
1019,16,19
1020,16,19
1021,16,19
1022,16,19
1023,16,19
1024,16,21
1025,16,21
1026,16,21
1027,16,21
1028,16,21
1029,16,21
1030,16,21
1031,16,21
1032,16,21
1033,16,21
1034,16,21
1035,16,21
1036,16,21
1037,16,21
1038,16,21
1039,16,21
1040,16,21
1041,16,21
1042,16,21
1043,16,21
1044,16,21
1045,16,21
1046,16,21
1047,16,21
1048,16,21
1049,16,21
1050,16,21
1051,16,21
1052,16,21
1053,16,21
1054,16,21
1055,16,21
1056,16,21
1057,16,21
1058,16,21
1059,16,21
1060,16,21
1061,16,21
1062,16,21
1063,16,21
1064,16,21
1065,16,21
1066,16,21
1067,16,21
1068,16,21
1069,16,21
1070,16,21
1071,16,21
1072,16,21
1073,16,21
1074,16,21
1075,16,21
1076,16,21
1077,16,21
1078,16,21
1079,16,21
1080,16,21
1081,16,21
1082,16,21
1083,16,21
1084,16,21
1085,16,21
1086,16,21
1087,16,21
1088,16,21
1089,16,21
1090,16,21
1091,16,21
1092,16,21
1093,16,21
1094,16,21
1095,16,21
1096,16,21
1097,16,21
1098,16,21
1099,16,21
1100,16,21
1101,16,21
1102,16,21
1103,16,21
1104,16,21
1105,16,21
1106,16,21
1107,16,21
1108,16,21
1109,16,21
1110,16,21
1111,16,21
1112,16,21
1113,16,21
1114,16,21
1115,16,21
1116,16,21
1117,16,21
1118,16,21
1119,16,21
1120,16,21
1121,16,21
1122,16,21
1123,16,21
1124,16,21
1125,16,21
1126,16,21
1127,16,21
1128,16,21
1129,16,21
1130,16,21
1131,16,21
1132,16,21
1133,16,21
1134,16,21
1135,16,21
1136,16,21
1137,16,21
1138,16,21
1139,16,21
1140,16,21
1141,16,21
1142,16,21
1143,16,21
1144,16,21
1145,16,21
1146,16,21
1147,16,21
1148,16,21
1149,16,21
1150,16,21
1151,16,21
1152,16,21
1153,16,21
1154,16,21
1155,16,21
1156,16,21
1157,16,21
1158,16,21
1159,16,21
1160,16,21
1161,16,21
1162,16,21
1163,16,21
1164,16,21
1165,16,21
1166,16,21
1167,16,21
1168,16,21
1169,16,21
1170,16,21
1171,16,21
1172,16,21
1173,16,21
1174,16,21
1175,16,21
1176,16,21
1177,16,21
1178,16,21
1179,16,21
1180,16,21
1181,16,21
1182,16,21
1183,16,21
1184,16,21
1185,16,21
1186,16,21
1187,16,21
1188,16,21
1189,16,21
1190,16,21
1191,16,21
1192,16,21
1193,16,21
1194,16,21
1195,16,21
1196,16,21
1197,16,21
1198,16,21
1199,16,21
1200,16,21
1201,16,21
1202,16,21
1203,16,21
1204,16,21
1205,16,21
1206,16,21
1207,16,21
1208,16,21
1209,16,21
1210,16,21
1211,16,21
1212,16,21
1213,16,21
1214,16,21
1215,16,21
1216,16,21
1217,16,21
1218,16,21
1219,16,21
1220,16,21
1221,16,21
1222,16,21
1223,16,21
1224,16,21
1225,16,21
1226,16,21
1227,16,21
1228,16,21
1229,16,21
1230,16,21
1231,16,21
1232,16,21
1233,16,21
1234,16,21
1235,16,21
1236,16,21
1237,16,21
1238,16,21
1239,16,21
1240,16,21
1241,16,21
1242,16,21
1243,16,21
1244,16,21
1245,16,21
1246,16,21
1247,16,21
1248,16,21
1249,16,21
1250,16,21
1251,16,21
1252,16,21
1253,16,21
1254,16,21
1255,16,21
1256,16,21
1257,16,21
1258,16,21
1259,16,21
1260,16,21
1261,16,21
1262,16,21
1263,16,21
1264,16,21
1265,16,21
1266,16,21
1267,16,21
1268,16,21
1269,16,21
1270,16,21
1271,16,21
1272,16,21
1273,16,21
1274,16,21
1275,16,21
1276,16,21
1277,16,21
1278,16,21
1279,16,21
1280,16,21
1281,16,21
1282,16,21
1283,16,21
1284,16,21
1285,16,21
1286,16,21
1287,16,21
1288,16,21
1289,16,21
1290,16,21
1291,16,21
1292,16,21
1293,16,21
1294,16,21
1295,16,21
1296,16,21
1297,16,21
1298,16,21
1299,16,21
1300,16,21
1301,16,21
1302,16,21
1303,16,21
1304,16,21
1305,16,21
1306,16,21
1307,16,21
1308,16,21
1309,16,21
1310,16,21
1311,16,21
1312,16,21
1313,16,21
1314,16,21
1315,16,21
1316,16,21
1317,16,21
1318,16,21
1319,16,21
1320,16,21
1321,16,21
1322,16,21
1323,16,21
1324,16,21
1325,16,21
1326,16,21
1327,16,21
1328,16,21
1329,16,21
1330,16,21
1331,16,21
1332,16,21
1333,16,21
1334,16,21
1335,16,21
1336,16,21
1337,16,21
1338,16,21
1339,16,21
1340,16,21
1341,16,21
1342,16,21
1343,16,21
1344,16,21
1345,16,21
1346,16,21
1347,16,21
1348,16,21
1349,16,21
1350,16,21
1351,16,21
1352,16,21
1353,16,21
1354,16,21
1355,16,21
1356,16,21
1357,16,21
1358,16,21
1359,16,21
1360,16,21
1361,16,21
1362,16,21
1363,16,21
1364,16,21
1365,16,21
1366,16,21
1367,16,21
1368,16,21
1369,16,21
1370,16,21
1371,16,21
1372,16,21
1373,16,21
1374,16,21
1375,16,21
1376,16,21
1377,16,21
1378,16,21
1379,16,21
1380,16,21
1381,16,21
1382,16,21
1383,16,21
1384,16,21
1385,16,21
1386,16,21
1387,16,21
1388,16,21
1389,16,21
1390,16,21
1391,16,21
1392,16,21
1393,16,21
1394,16,21
1395,16,21
1396,16,21
1397,16,21
1398,16,21
1399,16,21
1400,16,21
1401,16,21
1402,16,21
1403,16,21
1404,16,21
1405,16,21
1406,16,21
1407,16,21
1408,16,21
1409,16,21
1410,16,21
1411,16,21
1412,16,21
1413,16,21
1414,16,21
1415,16,21
1416,16,21
1417,16,21
1418,16,21
1419,16,21
1420,16,21
1421,16,21
1422,16,21
1423,16,21
1424,16,21
1425,16,21
1426,16,21
1427,16,21
1428,16,21
1429,16,21
1430,16,21
1431,16,21
1432,16,21
1433,16,21
1434,16,21
1435,16,21
1436,16,21
1437,16,21
1438,16,21
1439,16,21
1440,16,21
1441,16,21
1442,16,21
1443,16,21
1444,16,21
1445,16,21
1446,16,21
1447,16,21
1448,16,21
1449,16,21
1450,16,21
1451,16,21
1452,16,21
1453,16,21
1454,16,21
1455,16,21
1456,16,21
1457,16,21
1458,16,21
1459,16,21
1460,16,21
1461,16,21
1462,16,21
1463,16,21
1464,16,21
1465,16,21
1466,16,21
1467,16,21
1468,16,21
1469,16,21
1470,16,21
1471,16,21
1472,16,21
1473,16,21
1474,16,21
1475,16,21
1476,16,21
1477,16,21
1478,16,21
1479,16,21
1480,16,21
1481,16,21
1482,16,21
1483,16,21
1484,16,21
1485,16,21
1486,16,21
1487,16,21
1488,16,21
1489,16,21
